Input	Output
xrym right thrice after xrym around right thrice	I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM
turn right twice after turn right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
oymp opposite left twice and oymp left thrice	I_TURN_LEFT I_TURN_LEFT I_OYMP I_TURN_LEFT I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP
iugo around right twice and nvnj thrice	I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_TURN_RIGHT I_IUGO I_NVNJ I_NVNJ I_NVNJ
tece	I_TECE
icho around right thrice and icho right	I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO I_TURN_RIGHT I_ICHO
qqiu opposite right twice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_TURN_RIGHT I_QQIU
izcb right twice after turn right	I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_IZCB
turn opposite left and lwmo left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO I_TURN_LEFT I_LWMO
asmf around left thrice and asmf left twice	I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF I_TURN_LEFT I_ASMF
turn left after kbcp opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_TURN_RIGHT I_KBCP I_TURN_LEFT
dxpw left twice after dxpw left twice	I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW
turn left thrice after qlcv left	I_TURN_LEFT I_QLCV I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
jjep left thrice and turn right	I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_LEFT I_JJEP I_TURN_RIGHT
dlmc left thrice and turn around left thrice	I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_DLMC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
volb around left thrice after turn right	I_TURN_RIGHT I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB
abiu around right thrice after abiu opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_LEFT I_TURN_LEFT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU I_TURN_RIGHT I_ABIU
rqli around right and rqli right twice	I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI
hfro left thrice and turn opposite left	I_TURN_LEFT I_HFRO I_TURN_LEFT I_HFRO I_TURN_LEFT I_HFRO I_TURN_LEFT I_TURN_LEFT
xkhp right after qqiu opposite right	I_TURN_RIGHT I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_XKHP
uzoh around left twice after txpe opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TXPE I_TURN_LEFT I_TURN_LEFT I_TXPE I_TURN_LEFT I_TURN_LEFT I_TXPE I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH
reqk opposite right twice after kbcp around right twice	I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_KBCP I_TURN_RIGHT I_TURN_RIGHT I_REQK I_TURN_RIGHT I_TURN_RIGHT I_REQK
xkhp around left and qqiu around right thrice	I_TURN_LEFT I_XKHP I_TURN_LEFT I_XKHP I_TURN_LEFT I_XKHP I_TURN_LEFT I_XKHP I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU I_TURN_RIGHT I_QQIU
rksp around right and mlle around left twice	I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_RKSP I_TURN_RIGHT I_RKSP I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE I_TURN_LEFT I_MLLE
turn right thrice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
kvur around left thrice and turn opposite left	I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR I_TURN_LEFT I_TURN_LEFT
xkhp thrice after turn opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_XKHP I_XKHP I_XKHP
dlmc opposite right twice and turn left twice	I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_TURN_RIGHT I_DLMC I_TURN_LEFT I_TURN_LEFT
vzoe around right twice and uajp opposite left thrice	I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_RIGHT I_VZOE I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_TURN_LEFT I_UAJP
tece around left thrice and turn right thrice	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
dpjs left thrice after dpjs around left twice	I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS I_TURN_LEFT I_DPJS
turn right twice after izcb around left thrice	I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB I_TURN_RIGHT I_TURN_RIGHT
jjep opposite left after turn around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_JJEP
izcb left twice after izcb opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_RIGHT I_TURN_RIGHT I_IZCB I_TURN_LEFT I_IZCB I_TURN_LEFT I_IZCB
macp left thrice and macp right twice	I_TURN_LEFT I_MACP I_TURN_LEFT I_MACP I_TURN_LEFT I_MACP I_TURN_RIGHT I_MACP I_TURN_RIGHT I_MACP
qlcv opposite left thrice and qlcv	I_TURN_LEFT I_TURN_LEFT I_QLCV I_TURN_LEFT I_TURN_LEFT I_QLCV I_TURN_LEFT I_TURN_LEFT I_QLCV I_QLCV
